TRIALISx,TXPNAMEx,RUNDATEx,RUNTIMEx,STARTPTx,SUBJECTx,DESCRIPT,MAXTIMsc,LATENTsc,PATHISmt,SPEEDmts,xTIMEFLT,HEADGdeg,THGTIMEx,THGPATHx,SLICEISx,SLCxONsc,SLCxGOsc,QUAD1xsc,QUAD2xsc,QUAD3xsc,QUAD4xsc,QUAD1xmt,QUAD2xmt,QUAD3xmt,QUAD4xmt,PROXIMmt,PROXmt01,PROXmt02,PROXmt03,PROXmt04,GALCUMms,CUMUms01,CUMUms02,CUMUms03,CUMUms04
065CW10262,BurkeCW102,10/26/2023,12:04:45,E,1813,swim02,90,90,25.82,0.29,0.1,-106,33,27.6,ok,0,90,13.8,17.8,28.3,39.8,14.8,17.3,27.5,40.2,1.08,0.81,1.08,0.86,0.8,96.9,72.71,96.9,77.18,71.75
066CW10262,BurkeCW102,10/26/2023,12:05:59,SW,1813,swim03,90,10.9,3.31,0.3,0.8,-77.7,12.8,11.5,ok,0,90,33.9,11.9,34.8,19.2,30.3,14.4,29.1,26,0.71,0.8,0.98,0.8,0.71,7.7,8.68,10.73,8.72,7.7
067CW10262,BurkeCW102,10/26/2023,12:08:00,N,1814,swim01,90,15.1,4.53,0.3,1.2,-129.9,78.8,72.6,ok,0,90,26.4,24.5,33.7,15.2,26,27.5,32,14.3,1.04,1.04,1.13,0.88,0.86,15.69,15.69,17.06,13.35,12.93
068CW10262,BurkeCW102,10/26/2023,12:09:18,E,1814,swim02,90,20.2,5.97,0.3,0.8,-103,38.1,30.2,ok,0,90,13.3,49,37.6,0,11,51.2,37.7,0,1.03,1.31,1.03,0.48,0.6,20.82,26.46,20.82,9.67,12.14
069CW10262,BurkeCW102,10/26/2023,12:10:19,SW,1814,swim03,90,2.7,0.45,0.17,11,-1.7,37,34.9,ok,0,90,0,0,100,0,0,0,99.9,0,0.2,1.07,1.48,0.65,0.2,0.53,2.89,4.01,1.76,0.53
070CW10262,BurkeCW102,10/26/2023,12:12:03,N,1815,swim01,90,12.6,3.88,0.31,3,-129.9,63.5,55.2,ok,0,90,38,44.4,0,17.4,43.3,37.8,0,18.7,1.17,1.17,0.68,0.85,1.12,14.72,14.72,8.55,10.7,14.1
071CW10262,BurkeCW102,10/26/2023,12:13:06,E,1815,swim02,90,21.1,6.06,0.29,2.2,-118.6,48.3,37.4,ok,0,90,14.6,56.3,28.9,0,13.5,52.3,34.1,0,1.06,1.25,1.06,0.55,0.68,22.31,26.45,22.31,11.6,14.34
072CW10262,BurkeCW102,10/26/2023,12:14:07,SW,1815,swim03,90,1.4,0.26,0.19,7,22.3,14.3,11,ok,0,90,0,0,100,0,0,0,100,0,0.1,1.15,1.45,0.54,0.1,0.13,1.62,2.02,0.75,0.13
073CW10262,BurkeCW102,10/26/2023,12:15:52,N,1816,swim01,90,11.8,3.44,0.29,0.7,-107.7,0,0,ok,0,90,11.8,41.5,8.4,38.1,15.1,38.5,11.9,34.4,0.85,0.85,0.91,0.59,0.73,9.97,9.97,10.7,6.97,8.65
074CW10262,BurkeCW102,10/26/2023,12:16:54,E,1816,swim02,90,3,0.64,0.21,3.2,-5.1,33.3,25.8,ok,0,90,93.3,6.6,0,0,96.6,3.3,0,0,0.28,1.31,0.28,0.87,1.22,0.85,3.94,0.85,2.61,3.65
075CW10262,BurkeCW102,10/26/2023,12:19:27,SW,1816,swim03,90,8,1.61,0.2,7.4,25.4,68.8,68.6,ok,0,90,0,0,100,0,0,0,99.9,0,0.29,1.35,1.53,0.53,0.29,2.31,10.83,12.26,4.22,2.31
076CW10262,BurkeCW102,10/26/2023,12:21:14,N,1817,swim01,90,1.9,0.43,0.23,10.4,-46,100,100,ok,0,90,0,0,0,100,0,0,0,100,0.23,0.23,1.1,1.37,1.26,0.44,0.44,2.08,2.61,2.4
077CW10262,BurkeCW102,10/26/2023,12:22:17,E,1817,swim02,90,1.4,0.39,0.28,7,-35.1,71.4,80.6,ok,0,90,100,0,0,0,100,0,0,0,0.28,1.39,0.28,0.96,1.31,0.39,1.94,0.39,1.34,1.83
078CW10262,BurkeCW102,10/26/2023,12:23:43,SW,1817,swim03,90,3.6,1.08,0.3,2.6,-86.9,47.2,47,ok,0,90,0,0,100,0,0,0,100,0,0.42,0.91,1.5,0.82,0.42,1.5,3.27,5.41,2.96,1.5
079CW10262,BurkeCW102,10/26/2023,12:25:41,N,1842,swim01,90,14.1,4.41,0.31,0.6,-116.3,54.6,53.4,ok,0,90,26.2,31.9,24.8,17,29.2,31,26.5,13.2,1.11,1.11,0.95,0.78,0.87,15.63,15.63,13.39,11.07,12.21
080CW10262,BurkeCW102,10/26/2023,12:27:34,E,1842,swim02,90,15.4,4.15,0.27,0.5,-118.2,36.4,29,ok,0,90,14.9,37,9.7,38.3,14.7,34.5,12.6,38.1,0.97,0.89,0.97,0.78,0.87,14.92,13.68,14.92,12.01,13.47
081CW10262,BurkeCW102,10/26/2023,12:28:56,SW,1842,swim03,90,1.7,0.61,0.36,5.7,-3.2,11.8,12.6,ok,0,90,0,0,100,0,0,0,100,0,0.11,1.1,1.38,0.51,0.11,0.18,1.87,2.35,0.87,0.18
082CW10262,BurkeCW102,10/26/2023,12:31:14,N,1843,swim01,90,21.2,6.24,0.29,3.6,-133,60.8,58.5,ok,0,90,20.7,17.4,49.5,12.2,21.4,23.8,43.1,11.5,1.1,1.1,1.17,0.78,0.69,23.24,23.24,24.71,16.56,14.72
083CW10262,BurkeCW102,10/26/2023,12:32:27,E,1843,swim02,90,1.6,0.41,0.26,6.1,-5.5,100,100,ok,0,90,100,0,0,0,99.9,0,0,0,0.28,1.4,0.28,0.96,1.32,0.45,2.23,0.45,1.54,2.11
084CW10262,BurkeCW102,10/26/2023,12:35:09,SW,1843,swim03,90,2.7,0.75,0.28,7.3,-55.1,40.7,48.2,ok,0,90,0,0,100,0,0,0,100,0,0.31,1,1.53,0.76,0.31,0.85,2.71,4.12,2.05,0.85
085CW10262,BurkeCW102,10/26/2023,12:37:58,N,1844,swim01,90,34.4,10.58,0.31,5.4,-144,75,67.5,ok,0,90,29.3,29.9,33.4,7.2,28.2,29.3,36.3,6,1.13,1.13,1.07,0.82,0.86,38.74,38.74,36.66,28.13,29.42
086CW10262,BurkeCW102,10/26/2023,12:39:45,E,1844,swim02,90,2.1,0.39,0.18,14.1,-5,100,100,ok,0,90,100,0,0,0,100,0,0,0,0.22,1.36,0.22,1,1.34,0.46,2.86,0.46,2.09,2.81
087CW10262,BurkeCW102,10/26/2023,12:41:42,SW,1844,swim03,90,5.3,1.31,0.25,18.7,-48.5,18.9,16.4,ok,0,90,0,26.4,73.5,0,0,36.8,63.1,0,0.22,1.18,1.32,0.39,0.22,1.17,6.28,6.99,2.09,1.17
088CW10262,BurkeCW102,10/26/2023,12:44:17,N,1845,swim01,90,52.6,15.95,0.3,1.6,-130.7,77.6,65.5,ok,0,90,38.2,49.8,4.7,7.2,44.2,42.5,2.5,10.6,1.34,1.34,0.74,0.8,1.1,70.5,70.5,38.7,42.08,58.02
089CW10262,BurkeCW102,10/26/2023,12:46:08,E,1845,swim02,90,32,7.51,0.23,2.7,-134.7,83.1,77.5,ok,0,90,7.1,42.5,24.6,25.6,6.4,40.2,27.2,25.9,1.2,1.12,1.2,0.8,0.84,38.39,35.7,38.39,25.48,27.04
090CW10262,BurkeCW102,10/26/2023,12:48:07,SW,1845,swim03,90,21.3,6.05,0.28,12.5,125.6,52.1,62.2,ok,0,90,23,13.1,47.4,16.4,23.6,19.7,33.8,22.8,0.73,1.01,1.03,0.81,0.73,15.45,21.6,21.85,17.35,15.45
091CW10262,BurkeCW102,10/26/2023,12:53:45,SE,1812,swim04,90,7.5,2.22,0.3,1.2,-44.9,12,9.3,ok,0,90,30.6,40,22.6,6.6,37.3,27.3,26.1,9,0.86,1.13,0.86,0.44,0.64,6.48,8.48,6.48,3.3,4.81
092CW10262,BurkeCW102,10/26/2023,12:55:05,NW,1812,swim05,90,7.1,2.82,0.4,1.3,-75.8,7,14.9,ok,0,90,39.4,33.8,0,26.7,37.6,25.6,0,36.7,0.78,0.93,0.69,0.78,0.98,5.55,6.59,4.9,5.55,6.99
093CW10262,BurkeCW102,10/26/2023,12:57:15,S,1812,swim06,90,14.6,4.68,0.32,0.5,-30.5,54.1,58.4,ok,0,90,0,30.8,55.4,13.6,0,30.4,55.2,14.2,1.11,1.11,1.35,0.63,0.53,16.18,16.18,19.76,9.19,7.67
