GROUP,RAT,AGE,BLOCK,DAY,TRIAL,TYPE,START,LAT,PATH,CMDS,MNDS,Q1TM,Q2TM,Q3TM,Q4TM,PLTCRS,SPEED,GROUP.RAT,,
RWM09,57,6,Block3,Day05,Trial1,Train,E,8.91,209.84,4241.43,47.13,,,,,,23.55,RWM09.57,,
RWM09,57,6,Block3,Day05,Trial2,Train,W,23.12,527.54,10394.21,44.8,,,,,,22.81,RWM09.57,,
RWM09,57,6,Block3,Day05,Trial3,Train,S,4.2,76.91,1412.62,32.85,,,,,,18.29,RWM09.57,,
RWM09,57,6,Block3,Day06,Trial1,Train,E,8.01,134.77,3439.08,42.46,,,,,,16.83,RWM09.57,,
RWM09,57,6,Block3,Day06,Trial2,Train,S,4.3,74.12,1353.68,30.77,,,,,,17.22,RWM09.57,,
RWM09,57,6,Block3,Day06,Trial3,Probe,N,29.93,606.34,13332.8,44.44,3.2,,10.51,,3,20.26,RWM09.57,,
RWM09,57,6,Block4,Day07,Trial1,Train,S,15.42,366.41,8816.97,56.88,,,,,,23.77,RWM09.57,,
RWM09,57,6,Block4,Day07,Trial2,Train,W,8.31,175.32,4023.46,47.9,,,,,,21.1,RWM09.57,,
RWM09,57,6,Block4,Day07,Trial3,Train,E,5.51,106.28,2302.54,41.12,,,,,,19.3,RWM09.57,,
RWM09,57,6,Block4,Day08,Trial1,Train,W,15.92,271.28,6497.38,40.61,,,,,,17.04,RWM09.57,,
RWM09,57,6,Block4,Day08,Trial2,Train,N,5.91,124.83,3490.49,58.17,,,,,,21.14,RWM09.57,,
RWM09,57,6,Block4,Day08,Trial3,Probe,S,29.93,586.17,10767.27,35.89,0,,18.32,,2,19.58,RWM09.57,,
RWM09,57,6,Block6,Day09,Trial1,Cue,W,37.14,926.06,23375.47,63.35,,,,,,25.21,RWM09.57,,
RWM09,57,6,Block6,Day09,Trial2,Cue,S,5.61,130.64,2993.79,53.46,,,,,,23.73,RWM09.57,,
RWM09,57,6,Block6,Day09,Trial3,Cue,E,4.9,130.41,1466.83,29.94,,,,,,27.14,RWM09.57,,
RWM09,57,6,Block6,Day09,Trial4,Cue,N,7.41,169.69,3413.8,46.13,,,,,,23.22,RWM09.57,,
RWM09,57,6,Block6,Day09,Trial5,Cue,W,6.21,181.63,3754.78,60.56,,,,,,29.75,RWM09.57,,
RWM09,57,6,Block6,Day09,Trial6,Cue,S,6.81,458.93,4335.39,63.76,,,,,,68.43,RWM09.57,,
RWM09,58,6,Block1,Day01,Trial1,Train,E,90.09,1694.52,59413.7,65.94,,,,,,18.81,RWM09.58,,
RWM09,58,6,Block1,Day01,Trial2,Train,S,31.33,601.64,14926.77,47.54,,,,,,19.2,RWM09.58,,
RWM09,58,6,Block1,Day01,Trial3,Train,W,51.95,1160.03,26615.63,51.18,,,,,,22.33,RWM09.58,,
RWM09,58,6,Block1,Day02,Trial1,Train,S,46.25,1219.72,29471.12,63.65,,,,,,26.37,RWM09.58,,
RWM09,58,6,Block1,Day02,Trial2,Train,W,47.45,1242.82,30639.07,64.5,,,,,,26.19,RWM09.58,,
RWM09,58,6,Block1,Day02,Trial3,Probe,N,30.03,610.58,10597.22,35.21,3.4,,17.62,,3,20.33,RWM09.58,,
RWM09,58,6,Block2,Day03,Trial1,Train,W,5.31,131.83,3492.86,64.68,,,,,,24.85,RWM09.58,,
RWM09,58,6,Block2,Day03,Trial2,Train,S,11.71,273.48,5599.16,47.45,,,,,,23.35,RWM09.58,,
RWM09,58,6,Block2,Day03,Trial3,Train,E,7.41,194.81,4138.69,55.18,,,,,,26.3,RWM09.58,,
RWM09,58,6,Block2,Day04,Trial1,Train,E,90.09,2491.52,52334.16,58.08,,,,,,27.66,RWM09.58,,
RWM09,58,6,Block2,Day04,Trial2,Train,W,6.11,129.09,3873.01,62.47,,,,,,21.14,RWM09.58,,
RWM09,58,6,Block2,Day04,Trial3,Probe,S,29.93,477.6,11234.11,37.45,3.1,,22.52,,2,15.96,RWM09.58,,
RWM09,58,6,Block3,Day05,Trial1,Train,N,23.42,628.58,17523.78,74.57,,,,,,26.84,RWM09.58,,
RWM09,58,6,Block3,Day05,Trial2,Train,E,7.91,201.8,3915.62,48.95,,,,,,25.52,RWM09.58,,
